지점,지점명,일시,평균기온(°C),일강수량(mm),평균 상대습도(%),평균 증기압(hPa),합계 대형증발량(mm)
105,강릉,2018-03-22,4.2,,53.4,4.2,3.3
105,강릉,2018-03-23,9,,46.1,5.1,4.3
105,강릉,2018-03-24,13.2,,29.8,4.4,6
105,강릉,2018-03-25,16.8,,21.5,3.9,8.6
105,강릉,2018-03-26,18.7,,25.9,5.4,7.2
105,강릉,2018-03-27,18.9,,33.4,7.3,6.9
105,강릉,2018-03-28,19.6,,30.5,6.8,6
105,강릉,2018-03-29,12.7,,48.6,7,3.2
105,강릉,2018-03-30,10.3,,57.5,7,3.7
105,강릉,2018-03-31,17.2,,42.8,7.4,6.7
105,강릉,2018-04-01,19.1,,41.8,9.2,3.6
105,강릉,2018-04-02,22.1,,37.8,9.8,7.5
105,강릉,2018-04-03,17.3,.3,54.1,10.1,3.5
105,강릉,2018-04-04,6.2,27,82.6,7.8,.6
105,강릉,2018-04-05,6.3,6.5,78.3,7.4,.7
105,강릉,2018-04-06,7.5,8,59.5,6,3.5
105,강릉,2018-04-07,5.4,0,39.1,3.4,3.7
105,강릉,2018-04-08,5.5,1.5,47,4.2,2.7
105,강릉,2018-04-09,9.6,,45.1,5.1,3.9
105,강릉,2018-04-10,17.2,,31.9,6.1,6.8
105,강릉,2018-04-11,17.6,.5,28.4,5.7,7.9
